City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Port Alfred,ZA,-33.5906,26.891,70.93,93,100,11.34,overcast clouds
109,Fernie,CA,49.5,-115.0687,41.09,98,100,5.03,overcast clouds
110,Loukhi,RU,66.0764,33.0381,23.63,88,100,9.37,overcast clouds
111,Madingou,CG,-4.1536,13.55,71.26,97,100,2.8,moderate rain
112,Punta Arenas,CL,-53.15,-70.9167,41.11,60,75,13.8,broken clouds
113,Neuquen,AR,-38.9516,-68.0591,66.09,32,0,4.61,clear sky
114,Turbat,PK,26.0023,63.044,61.92,62,4,4.83,clear sky
115,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,86,49,10.8,scattered clouds
116,Kartuzy,PL,54.3342,18.1974,39.58,81,100,34.52,light rain
117,Longkou,CN,37.6508,120.3286,34.38,46,1,19.22,clear sky
118,Prachuap Khiri Khan,TH,12.2167,99.75,79.11,44,100,2.86,overcast clouds
119,Lagoa,PT,39.05,-27.9833,56.07,56,63,12.75,broken clouds
120,Cayenne,GF,4.9333,-52.3333,79.09,84,20,5.99,few clouds
121,Salalah,OM,17.0151,54.0924,73.49,73,75,3.44,broken clouds
122,Lata,PT,40.1629,-8.3327,50.81,90,21,3.6,few clouds
123,Pemangkat,ID,1.1667,108.9667,82.76,74,37,7.34,scattered clouds
124,Aklavik,CA,68.2191,-135.0107,-28.48,99,77,6.87,broken clouds
125,Constitucion,CL,-35.3333,-72.4167,54.57,88,55,7.4,broken clouds
126,Bayanday,RU,53.0661,105.5139,6.94,86,97,1.97,overcast clouds
127,Atasu,KZ,48.6814,71.6433,14.32,97,100,5.3,overcast clouds
128,Vetas,CO,7.3091,-72.8712,38.48,93,94,4.34,overcast clouds
129,Berezovyy,RU,51.6667,135.7,11.23,88,100,5.61,light snow
130,Mount Gambier,AU,-37.8333,140.7667,69.12,46,50,10.8,scattered clouds
131,Khani,GE,41.9563,42.9566,20.77,97,100,1.16,snow
132,Yuncheng,CN,35.0231,110.9928,43.0,34,0,5.08,clear sky
133,Souillac,MU,-20.5167,57.5167,80.37,83,40,3.44,scattered clouds
134,Ajaccio,FR,42.0,8.9167,42.85,87,0,11.5,clear sky
135,Saskylakh,RU,71.9167,114.0833,-22.67,92,23,15.32,few clouds
136,Pozo Colorado,PY,-23.4923,-58.7972,92.26,33,14,14.03,few clouds
137,San Quintin,MX,30.4833,-115.95,62.01,74,100,7.43,overcast clouds
138,Lebu,CL,-37.6167,-73.65,52.93,70,81,10.33,broken clouds
139,Nkowakowa,ZA,-23.8878,30.2871,62.65,93,96,2.84,light rain
140,Vestmannaeyjar,IS,63.4427,-20.2734,45.27,87,100,19.51,overcast clouds
141,High Level,CA,58.5169,-117.136,5.11,85,100,10.36,light snow
142,Solnechnyy,RU,50.7214,136.6319,8.46,86,100,8.7,overcast clouds
143,Gondar,ET,12.6,37.4667,58.69,47,69,3.09,broken clouds
144,Bengkulu,ID,-3.8004,102.2655,83.73,68,52,1.03,broken clouds
145,Izumo,JP,35.3667,132.7667,44.55,56,75,16.11,broken clouds
146,Yankton,US,42.8711,-97.3973,31.12,86,0,9.22,clear sky
147,Krasnoselkup,RU,65.7,82.4667,11.91,89,100,23.31,overcast clouds
148,Sitka,US,57.0531,-135.33,37.29,87,100,14.97,light rain
149,Muros,ES,42.7762,-9.0603,52.09,96,96,6.08,overcast clouds
150,Pangnirtung,CA,66.1451,-65.7125,-14.8,64,20,3.44,few clouds
151,Mackenzie,CA,55.2999,-123.1698,32.22,100,100,5.75,overcast clouds
152,Walvis Bay,NA,-22.9575,14.5053,68.09,88,87,3.44,overcast clouds
153,Kieta,PG,-6.2167,155.6333,83.88,76,60,2.77,moderate rain
154,Pecos,US,31.4229,-103.4932,55.87,16,0,10.36,clear sky
155,Matara,LK,5.9485,80.5353,78.13,77,100,7.94,overcast clouds
156,Port Elizabeth,ZA,-33.918,25.5701,70.11,77,75,11.5,broken clouds
157,Zyryanka,RU,65.75,150.85,-39.82,98,59,5.82,broken clouds
158,Rong Kwang,TH,18.339,100.3174,75.56,52,10,1.86,clear sky
159,Meadow Lake,US,34.8014,-106.5436,44.4,28,59,4.76,broken clouds
160,Selfoss,IS,63.9331,-20.9971,44.49,92,100,18.99,overcast clouds
161,Houston,US,29.7633,-95.3633,48.22,64,0,3.44,clear sky
162,Zhangye,CN,38.9342,100.4517,34.57,18,3,1.21,clear sky
163,Nanortalik,GL,60.1432,-45.2371,25.68,94,100,16.2,snow
164,Tongliao,CN,43.6125,122.2653,6.62,79,13,9.82,few clouds
165,Upernavik,GL,72.7868,-56.1549,-10.43,99,96,9.24,overcast clouds
166,Isangel,VU,-19.55,169.2667,86.11,66,40,6.91,scattered clouds
167,Batagay-Alyta,RU,67.8006,130.4114,-30.35,86,37,3.49,scattered clouds
168,Marawi,PH,7.9986,124.2928,71.65,73,99,6.35,overcast clouds
169,Rawson,AR,-43.3002,-65.1023,59.0,42,100,16.69,overcast clouds
170,Tagusao,PH,9.1924,117.8141,81.86,67,100,6.46,light rain
