City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Teya,RU,2022-01-16 23:13:00,60.3778,92.6267,-8.0,100,99,2.66
93,Mahebourg,MU,2022-01-16 23:13:00,-20.4081,57.7,78.26,88,40,3.44
94,Meulaboh,ID,2022-01-16 23:13:00,4.1363,96.1285,74.8,90,32,4.5
95,Qaanaaq,GL,2022-01-16 23:13:01,77.484,-69.3632,-6.43,59,0,7.0
96,Erzin,TR,2022-01-16 23:13:01,36.9559,36.2,36.32,46,0,6.4
97,Labuhan,ID,2022-01-16 23:13:01,-6.8844,112.2051,78.51,84,100,8.57
98,Iwaki,JP,2022-01-16 23:13:02,37.05,140.8833,42.03,60,12,7.0
99,Bayangol,RU,2022-01-16 23:13:02,50.6977,103.4656,-7.92,89,35,3.11
100,Batemans Bay,AU,2022-01-16 23:13:02,-35.7167,150.1833,83.19,58,76,5.5
101,Araouane,ML,2022-01-16 23:13:03,18.9048,-3.5265,58.89,20,96,11.41
102,Honningsvag,NO,2022-01-16 23:13:03,70.9821,25.9704,25.99,65,100,25.05
103,Arman,RU,2022-01-16 23:13:03,59.7,150.1667,-7.02,79,1,8.99
104,Hasaki,JP,2022-01-16 23:13:04,35.7333,140.8333,30.6,57,98,7.92
105,Butaritari,KI,2022-01-16 23:13:04,3.0707,172.7902,82.2,78,34,16.4
106,Arraial Do Cabo,BR,2022-01-16 23:13:04,-22.9661,-42.0278,76.86,78,0,14.97
107,Mataura,NZ,2022-01-16 23:13:05,-46.1927,168.8643,65.5,54,100,3.0
108,Ancud,CL,2022-01-16 23:13:05,-41.8697,-73.8203,52.23,56,26,10.69
109,Kushiro,JP,2022-01-16 23:13:05,42.975,144.3747,29.35,100,100,11.5
110,East London,ZA,2022-01-16 23:13:06,-33.0153,27.9116,75.24,88,49,2.59
111,Kurchum,KZ,2022-01-16 23:13:06,48.5722,83.6542,19.94,86,100,3.2
112,Kahului,US,2022-01-16 23:13:06,20.8947,-156.47,83.46,72,20,12.66
113,Coruripe,BR,2022-01-16 23:09:26,-10.1256,-36.1756,78.26,73,7,7.92
114,Pevek,RU,2022-01-16 23:13:07,69.7008,170.3133,-25.62,96,39,1.95
115,Saint-Philippe,RE,2022-01-16 23:13:07,-21.3585,55.7679,78.39,86,98,6.6
116,Bar Harbor,US,2022-01-16 23:13:07,44.3876,-68.2039,23.02,55,0,3.0
117,Lagoa,PT,2022-01-16 23:13:08,39.05,-27.9833,55.99,55,68,14.7
118,Barrow,US,2022-01-16 23:13:08,71.2906,-156.7887,-16.58,69,100,0.0
119,Souillac,MU,2022-01-16 23:13:08,-20.5167,57.5167,78.37,88,40,3.44
120,Luderitz,NA,2022-01-16 23:13:08,-26.6481,15.1594,68.31,83,0,11.21
121,Harindanga,IN,2022-01-16 23:13:09,22.0383,88.3214,57.18,45,0,7.87
122,General Cepeda,MX,2022-01-16 23:13:09,25.3833,-101.45,59.77,13,30,6.24
123,Cherskiy,RU,2022-01-16 23:13:09,68.75,161.3,-36.47,100,12,4.63
124,Moses Lake,US,2022-01-16 23:10:52,47.1301,-119.2781,36.18,86,100,3.44
125,Tiksi,RU,2022-01-16 23:13:10,71.6872,128.8694,-24.57,98,39,6.42
126,Abha,SA,2022-01-16 23:13:10,18.2164,42.5053,55.65,58,0,6.91
127,Paro,BT,2022-01-16 23:13:10,27.4305,89.4133,32.99,26,3,6.85
128,Namibe,AO,2022-01-16 23:13:11,-15.1961,12.1522,68.11,78,55,4.47
129,Maniitsoq,GL,2022-01-16 23:13:11,65.4167,-52.9,13.19,82,100,11.61
130,Broken Hill,AU,2022-01-16 23:13:12,-31.95,141.4333,75.47,44,100,16.73
131,Lebu,CL,2022-01-16 23:13:12,-37.6167,-73.65,57.31,60,73,13.73
132,Codrington,AU,2022-01-16 23:13:12,-38.2667,141.9667,65.23,73,100,12.44
133,Surt,LY,2022-01-16 23:13:13,31.2089,16.5887,57.79,74,13,7.27
