City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Muisne,EC,75.92,overcast clouds,0.6,-80.0333,Quinta Samay
69,Caruray,PH,78.4,overcast clouds,10.3094,119.0128,
71,Caravelas,BR,74.66,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
75,Forio,IT,55.42,few clouds,40.7342,13.8646,Hotel Terme Providence
77,Lakes Entrance,AU,78.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
83,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
84,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
85,East London,ZA,65.34,mist,-33.0153,27.9116,Tu Casa
86,Gurupa,BR,73.62,overcast clouds,-1.405,-51.64,Hotel Vitória
87,Esperance,AU,69.82,scattered clouds,-33.8667,121.9,Hospitality Esperance
91,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
92,Boyolangu,ID,85.84,scattered clouds,-8.1181,111.8935,Yos ega cv
93,Hurghada,EG,55.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
96,Linda,US,57.58,clear sky,39.1277,-121.5508,Comfort Suites Marysville-Yuba City
99,Labuhan,ID,84.69,moderate rain,-6.8844,112.2051,DoubleFAG
101,Bansang,GM,76.06,few clouds,13.4333,-14.65,Margie's Lodge
102,Kavaratti,IN,79.45,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
103,Vaini,TO,80.91,few clouds,-21.2,-175.2,Keleti Beach Resort
104,Geraldton,AU,93.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
105,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
107,Airai,TL,70.57,overcast clouds,-8.9266,125.4092,
108,Port Alfred,ZA,70.93,overcast clouds,-33.5906,26.891,The Halyards Hotel
111,Madingou,CG,71.26,moderate rain,-4.1536,13.55,HOTEL KIM ELISA
113,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
114,Turbat,PK,61.92,clear sky,26.0023,63.044,Mubashar Quarters
115,Vila Franca Do Campo,PT,56.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
118,Prachuap Khiri Khan,TH,79.11,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
119,Lagoa,PT,56.07,broken clouds,39.05,-27.9833,Casa Das Faias
120,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
121,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
122,Lata,PT,50.81,few clouds,40.1629,-8.3327,Casa Maquia
123,Pemangkat,ID,82.76,scattered clouds,1.1667,108.9667,Ramah Kost KITA
125,Constitucion,CL,54.57,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
130,Mount Gambier,AU,69.12,scattered clouds,-37.8333,140.7667,The Commodore
133,Souillac,MU,80.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
136,Pozo Colorado,PY,92.26,few clouds,-23.4923,-58.7972,Hospedaje la Amistad
137,San Quintin,MX,62.01,overcast clouds,30.4833,-115.95,Don Eddie's Landing
138,Lebu,CL,52.93,broken clouds,-37.6167,-73.65,Hostal Las Lilas
139,Nkowakowa,ZA,62.65,light rain,-23.8878,30.2871,Moytel 966A Guest House & Spa
143,Gondar,ET,58.69,broken clouds,12.6,37.4667,L Shape Hotel
144,Bengkulu,ID,83.73,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
149,Muros,ES,52.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
153,Kieta,PG,83.88,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
154,Pecos,US,55.87,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
155,Matara,LK,78.13,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
156,Port Elizabeth,ZA,70.11,broken clouds,-33.918,25.5701,39 On Nile Guest House
158,Rong Kwang,TH,75.56,clear sky,18.339,100.3174,Rong Kwang Hotel
166,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
168,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
169,Rawson,AR,59.0,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
170,Tagusao,PH,81.86,light rain,9.1924,117.8141,Green Villa beach resort
171,Bredasdorp,ZA,64.09,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
173,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
174,Ternate,ID,81.0,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
175,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
176,Wanning,CN,76.32,few clouds,18.8003,110.3967,Paradise Hotel
180,Shorapur,IN,69.87,broken clouds,16.5167,76.75,ರಮೇಶ್ ಅವರ ಮನೆ
181,San Cristobal,VE,70.02,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
185,San Lawrenz,MT,52.86,broken clouds,36.0553,14.204,San Andrea Hotel
186,Carnot,CF,66.56,broken clouds,4.9409,15.8665,
187,Kaitangata,NZ,68.94,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
188,Jardim,BR,78.37,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
189,Lebowakgomo,ZA,67.1,overcast clouds,-24.2,29.5,Chuene Resort
191,Kantang,TH,84.29,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
192,Guerrero Negro,MX,64.09,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
193,Sanger,US,56.77,haze,36.708,-119.556,Townhouse Motel
194,Coihueco,CL,57.94,few clouds,-36.6167,-71.8333,Frutillares Centro Coihueco
196,Port Lincoln,AU,68.65,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
198,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
200,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
201,Tezu,IN,67.1,clear sky,27.9167,96.1667,Circuit House
203,Kasempa,ZM,62.58,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
204,Taoudenni,ML,53.64,overcast clouds,22.6783,-3.9836,
205,Camaqua,BR,73.94,broken clouds,-30.8511,-51.8122,Bartz Hotel
206,Talara,PE,71.89,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
214,San Fernando,PH,86.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
