City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Hilo,US,2022-01-17 00:57:12,19.7297,-155.09,77.25,93,39,1.99
173,Sitka,US,2022-01-17 00:57:54,57.0531,-135.33,39.09,87,100,6.91
174,Mecca,SA,2022-01-17 00:57:54,21.4267,39.8261,61.74,55,5,7.11
175,Alta Floresta,BR,2022-01-17 00:57:54,-9.8756,-56.0861,71.33,94,10,3.04
176,Port Elizabeth,ZA,2022-01-17 00:57:55,-33.918,25.5701,71.1,83,40,13.8
177,Leshukonskoye,RU,2022-01-17 00:57:55,64.8989,45.7622,14.92,94,100,11.03
178,Castro,BR,2022-01-17 00:57:55,-24.7911,-50.0119,63.43,97,100,4.07
179,Bethel,US,2022-01-17 00:57:56,41.3712,-73.414,34.02,79,100,4.0
180,Tari,NG,2022-01-17 00:57:56,12.4086,4.4914,68.32,20,2,14.38
181,Bairiki,KI,2022-01-17 00:57:56,1.3292,172.9752,86.0,79,20,10.36
182,Beloha,MG,2022-01-17 00:57:57,-25.1667,45.05,71.58,91,36,8.39
183,Imbituba,BR,2022-01-17 00:57:57,-28.24,-48.6703,80.82,94,100,8.1
184,Springbok,ZA,2022-01-17 00:57:57,-29.6643,17.8865,63.82,78,0,2.04
185,Mbandaka,CD,2022-01-17 00:57:58,0.0487,18.2603,71.02,90,100,2.24
186,Kahului,US,2022-01-17 00:53:47,20.8947,-156.47,80.62,73,20,10.36
187,Mao,ES,2022-01-17 00:58:58,39.8885,4.2658,43.36,81,0,8.05
188,Pakaur,IN,2022-01-17 00:58:59,24.6333,87.85,51.42,46,1,4.9
189,Vyartsilya,RU,2022-01-17 00:58:59,62.1764,30.693,25.05,80,7,10.11
190,Chapleau,CA,2022-01-17 00:59:00,47.8405,-83.4034,15.89,92,100,6.91
191,Roald,NO,2022-01-17 00:59:00,62.5833,6.1333,35.74,64,75,29.93
192,Constitucion,CL,2022-01-17 00:59:00,-35.3333,-72.4167,56.62,90,98,9.1
193,San Patricio,US,2022-01-17 00:59:01,28.017,-97.5169,59.09,22,0,1.43
194,Aklavik,CA,2022-01-17 00:59:01,68.2191,-135.0107,-26.57,99,74,6.51
195,Goderich,CA,2022-01-17 00:59:01,43.7501,-81.7165,20.03,73,32,5.75
196,Kamenka,RU,2022-01-17 00:59:02,51.3223,42.7678,16.75,98,93,6.96
197,Comodoro Rivadavia,AR,2022-01-17 00:57:20,-45.8667,-67.5,55.26,54,20,14.97
198,Argelia,CO,2022-01-17 00:59:02,2.2556,-77.2488,65.97,98,100,2.82
199,Manuk Mangkaw,PH,2022-01-17 00:59:02,4.8,119.85,79.75,81,99,11.5
200,Ribeira Grande,PT,2022-01-17 00:59:03,38.5167,-28.7,56.95,60,95,17.29
201,Cheremukhovo,RU,2022-01-17 00:59:03,60.3484,59.9851,-13.9,98,37,3.4
202,Ilulissat,GL,2022-01-17 00:59:03,69.2167,-51.1,-11.13,78,100,5.75
203,Dudinka,RU,2022-01-17 00:59:04,69.4058,86.1778,13.62,88,98,21.72
204,Bismarck,US,2022-01-17 00:55:01,46.8083,-100.7837,31.8,89,0,1.99
205,Lebu,CL,2022-01-17 00:59:04,-37.6167,-73.65,54.93,65,76,13.15
206,Balabac,PH,2022-01-17 00:59:04,7.9868,117.0645,81.43,76,100,18.72
207,Ho Chi Minh City,VN,2022-01-17 00:56:15,10.75,106.6667,78.82,78,75,3.44
208,Pacific Grove,US,2022-01-17 00:59:05,36.6177,-121.9166,65.7,70,100,3.0
209,Nikolskoye,RU,2022-01-17 00:59:05,59.7035,30.7861,33.87,84,100,11.45
210,Beidao,CN,2022-01-17 00:59:05,34.5686,105.8933,35.65,46,0,2.62
211,Pevek,RU,2022-01-17 00:59:05,69.7008,170.3133,-25.87,98,30,0.67
212,Sao Filipe,CV,2022-01-17 00:59:06,14.8961,-24.4956,71.37,71,0,4.59
